Country or Area,City
Russian Federation,Tolyatti
Russian Federation,Tomsk
Russian Federation,Tomsk
Russian Federation,Tula
Russian Federation,Tver
Russian Federation,Tyumen
Russian Federation,Tyumen
Russian Federation,Ufa
Russian Federation,Ufa
Russian Federation,Uhta
Russian Federation,Uhta
Russian Federation,Ulan-Ude
Russian Federation,Ulyanovsk
Russian Federation,Ulyanovsk
Russian Federation,Ussuriisk
Russian Federation,Ussuriisk
Russian Federation,Velikie Luky
Russian Federation,Velikiy Novgorod
Russian Federation,Vladikavkaz (Osetinskaya ASSR)
Russian Federation,Vladikavkaz (Osetinskaya ASSR)
Russian Federation,Vladimir
Russian Federation,Vladimir
Russian Federation,Vladivostok
Russian Federation,Vladivostok
Russian Federation,Volgodonsk
Russian Federation,Volgograd
Russian Federation,Vologda
Russian Federation,Vologda
Russian Federation,Volzhsky
Russian Federation,Volzhsky
Russian Federation,Voronezh
Russian Federation,Yakutsk
Russian Federation,Yakutsk
Russian Federation,Yaroslavl
Russian Federation,Yoshkar-Ola
Russian Federation,Yoshkar-Ola
Russian Federation,Yuzhno-Sakhalinsk
Russian Federation,Yuzhno-Sakhalinsk
Russian Federation,Zheleznodorozhny
Russian Federation,Zhukovsky
Russian Federation,Zlatoust
Russian Federation,Zlatoust
Serbia,BEOGRAD (BELGRADE)
Serbia,BEOGRAD (BELGRADE)
Serbia,Cacak
Serbia,Cacak
Serbia,Kragujevac
Serbia,Kragujevac
Serbia,Kraljevo
Serbia,Kraljevo
Serbia,KruÅÁevac
Serbia,KruÅÁevac
Serbia,Leskovac
Serbia,Leskovac
Serbia,NiÅÁ
Serbia,NiÅÁ
Serbia,Novi Sad
Serbia,Novi Sad
Serbia,Pancevo
Serbia,Pancevo
Serbia,ÅÊabac
Serbia,ÅÊabac
Serbia,Smederevo
Serbia,Smederevo
Serbia,Subotica
Serbia,Subotica
Serbia,Zrenjanin
Serbia,Zrenjanin
Singapore,SINGAPORE
Slovakia,BRATISLAVA
Slovakia,Kosice
Slovenia,LJUBLJANA
Slovenia,LJUBLJANA
Slovenia,Maribor
Slovenia,Maribor
Spain,Albacete
Spain,AlcalÌÁ de Henares
Spain,Alcobendas
Spain,AlcorcÌ_n
Spain,Algeciras
Spain,Alicante
Spain,AlmerÌ_a
Spain,Badajoz
Spain,Badalona
Spain,Baracaldo
Spain,Barcelona
Spain,Bilbao
Spain,Burgos
Spain,CÌÁdiz
Spain,Cartagena
Spain,CastellÌ_n de la Plana
Spain,CÌ_rdoba
Spain,A CoruÌ±a
Spain,Donostia - San SebastiÌÁn
Spain,Dos Hermanas
Spain,Elche
Spain,Fuenlabrada
Spain,Getafe
Spain,GijÌ_n
Spain,Granada
Spain,Hospitalet de Llobregat
Spain,Huelva
Spain,JaÌ©n
Spain,JÌ©rez de la Frontera
Spain,LeganÌ©s
Spain,LeÌ_n
Spain,Lleida
Spain,LogroÌ±o
Spain,MADRID
Spain,MÌÁlaga
Spain,Marbella
Spain,MatarÌ_
Spain,MÌ_stoles
Spain,Murcia
Spain,Ourense
Spain,Oviedo
Spain,Palma de Mallorca
Spain,Palmas de Gran Canaria
Spain,Pamplona
Spain,Parla
Spain,Reus
Spain,Sabadell
Spain,Salamanca
Spain,San CristÌ_bal de La Laguna
Spain,Santa Coloma de Gramanet
Spain,Santa Cruz de Tenerife
Spain,Santander
Spain,Sevilla
Spain,Tarragona
Spain,Telde
Spain,Terrassa
Spain,TorrejÌ_n de Ardoz
Spain,Torrevieja
Spain,Valencia
Spain,Valladolid
Spain,Vigo
Spain,Vitoria-Gasteiz
Spain,Zaragoza
Switzerland,Baden-Brugg
Switzerland,Baden-Brugg
Switzerland,BÌ¢le
Switzerland,BÌ¢le
Switzerland,BERNE
Switzerland,BERNE
Switzerland,Fribourg
Switzerland,Fribourg
Switzerland,GenÌ¬ve
Switzerland,GenÌ¬ve
Switzerland,Lausanne
Switzerland,Lausanne
Switzerland,Lugano
Switzerland,Lugano
Switzerland,Luzern
Switzerland,Luzern
Switzerland,Olten-Zofingen
Switzerland,Olten-Zofingen
Switzerland,St. Gallen
Switzerland,St. Gallen
Switzerland,Winterthur
Switzerland,Winterthur
Switzerland,Zug
Switzerland,Zug
Switzerland,ZÌ_rich
Switzerland,ZÌ_rich
Tajikistan,DUSHANBE
TFYR of Macedonia,SKOPJE
Turkey,Adana
Turkey,Adiyaman
Turkey,Afyonkarahisar
Turkey,Agri
Turkey,Akhisar
Turkey,Aksaray
Turkey,Alanya (Antalya)
Turkey,ANKARA
Turkey,Antalya
Turkey,Aydin
Turkey,Balikesir
Turkey,Bandirma
Turkey,Batman
Turkey,Bolu
Turkey,Bursa
Turkey,Ceyhan
Turkey,Cizre
Turkey,Ìàanakkale
Turkey,Ìàorlu
Turkey,Ìàorum
Turkey,Denizli
Turkey,Diyarbakir
Turkey,DÌ_zce
Turkey,Edirne
Turkey,Elazig
Turkey,Eregli
Turkey,Erzurum
Turkey,Eskisehir
Turkey,Gaziantep
Turkey,Giresun
Turkey,Hatay
Turkey,InegÌ_l
Turkey,Iskenderun
Turkey,Isparta
Turkey,Istanbul
Turkey,Izmir
Turkey,Kahramanmaras
Turkey,KarabÌ_k
Turkey,Karaman
Turkey,Kayseri
Turkey,Kirikkale
Turkey,Kirsehir
Turkey,Kiziltepe
Turkey,Kocaeli
Turkey,Konya
Turkey,KÌ_tahya
Turkey,LÌ_leburgaz
Turkey,Malatya
Turkey,Manisa
Turkey,Mersin
Turkey,Nazilli
Turkey,Nigde
Turkey,Ordu
Turkey,Osmaniye
Turkey,Polatli
Turkey,Rize
Turkey,Sakarya
Turkey,Samsun
Turkey,Sanliurfa
Turkey,Siirt
Turkey,Sivas
Turkey,Siverek
Turkey,Tarsus
Turkey,Tekirdag
Turkey,Tokat
Turkey,Trabzon
Turkey,Turgutlu ( Manisa)
Turkey,Usak
Turkey,Van
Turkey,Yalova
Turkey,Zonguldak
Ukraine,Alchevsk
Ukraine,Belaya Tserkov (Bila Crkva)
Ukraine,Berdyansk
Ukraine,Berdyansk
Ukraine,Cherkassy
Ukraine,Cherkassy
Ukraine,Chernigov
Ukraine,Chernovtsy
Ukraine,Dneprodzerzhinsk
Ukraine,Dneprodzerzhinsk
Ukraine,Dnepropetrovsk
Ukraine,Dnepropetrovsk
Ukraine,Donetsk (Donestskaya oblast)
Ukraine,Donetsk (Donestskaya oblast)
Ukraine,Enakievo (Yenakievo)
Ukraine,Enakievo (Yenakievo)
Ukraine,Evpatoriya (Yevpatoriya)
Ukraine,Evpatoriya (Yevpatoriya)
Ukraine,Gorlovka
Ukraine,Gorlovka
Ukraine,Ivano-Frankovsk
Ukraine,Ivano-Frankovsk
Ukraine,Kamyanetsk Podilsky
Ukraine,Kertch
Ukraine,Kharkov
Ukraine,Kherson
Ukraine,Kherson
Ukraine,Khmelnitsky (Hmilnyk)
Ukraine,KIEV
Ukraine,Kirovograd
Ukraine,Kirovograd
Ukraine,Kramatorsk
Ukraine,Kramatorsk
Ukraine,Krasny Lutch
Ukraine,Krasny Lutch
Ukraine,Krementchug
Ukraine,Kryvy Rig
Ukraine,Kryvy Rig
Ukraine,Lugansk
Ukraine,Lugansk
Ukraine,Lutsk
Ukraine,Lvov
Ukraine,Lvov
Ukraine,Lysychansk
Ukraine,Lysychansk
Ukraine,Makeyevka
Ukraine,Makeyevka
Ukraine,Mariupol
Ukraine,Mariupol
Ukraine,Melitopol
Ukraine,Mykolaiv (Nikolaevskaya oblast)
Ukraine,Nikopol
Ukraine,Odessa
Ukraine,Pavlograd
Ukraine,Poltava
Ukraine,Rivne
Ukraine,Sevastopol
Ukraine,Sevastopol
Ukraine,Severodonetsk
Ukraine,Severodonetsk
Ukraine,Simferopol
Ukraine,Simferopol
Ukraine,Slavyansk
Ukraine,Slavyansk
Ukraine,Stakhanov
Ukraine,Stakhanov
Ukraine,Sumy
Ukraine,Sumy
Ukraine,Ternopol
Ukraine,Uzhgorod
Ukraine,Vinnutsya
Ukraine,Yevpatoriya
Ukraine,Yevpatoriya
Ukraine,Zaporozhye
Ukraine,Zhitomir
United States of America,Abilene (TX)
United States of America,Akron (OH)
United States of America,Albuquerque (NM)
United States of America,Alexandria (VA)
United States of America,Allentown (PA)
United States of America,Amarillo (TX)
United States of America,Anaheim (CA)
United States of America,Anchorage (AK)
United States of America,Ann Arbor (MI)
United States of America,Antioch (CA)
United States of America,Arlington (TX)
United States of America,Arvada (CO)
United States of America,Athens (GA)
United States of America,Atlanta (GA)
United States of America,Augusta (GA)
United States of America,Aurora (CO)
United States of America,Aurora (IL)
United States of America,Austin (TX)
United States of America,Bakersfield (CA)
United States of America,Baltimore (MD)
United States of America,Baton Rouge (LA)
United States of America,Beaumont (TX)
United States of America,Bellevue (WA)
United States of America,Berkeley (CA)
United States of America,Billings (MT)
United States of America,Birmingham (AL)
United States of America,Boise City (ID)
United States of America,Boston (MA)
United States of America,Boulder (CO)
United States of America,Bridgeport (CT)
United States of America,Brownsville (TX)
United States of America,Buffalo (NY)
United States of America,Burbank (CA)
United States of America,Carlsbad (CA)
United States of America,Cambridge (MA)
United States of America,Cape Coral (FL)
United States of America,Carrollton (TX)
United States of America,Cary (NC)
United States of America,Cedar Rapids (IA)
United States of America,Centennial (CO)
United States of America,Chandler (AZ)
United States of America,Charleston (SC)
United States of America,Charlotte (NC)
United States of America,Chattanooga (TN)
United States of America,Chesapeake (VA)
United States of America,Chicago (IL)
United States of America,Chula Vista (CA)
United States of America,Cincinnati (OH)
United States of America,Clarksville (TN)
United States of America,Clearwater (FL)
United States of America,Cleveland (OH)
United States of America,Colorado Springs (CO)
United States of America,Columbia (MO)
United States of America,Columbia (SC)
United States of America,Columbus (GA)
United States of America,Columbus (OH)
United States of America,Concord (CA)
United States of America,Coral Springs (FL)
United States of America,Corona (CA)
United States of America,Corpus Christi (TX)
United States of America,Costa Mesa (CA)
United States of America,Dallas (TX)
United States of America,Daly City (CA)
United States of America,Davenport (IA)
United States of America,Dayton (OH)
United States of America,Denton (TX)
United States of America,Denver (CO)
United States of America,Des Moines (IA)
United States of America,Detroit (MI)
United States of America,Downey (CA)
United States of America,Durham (NC)
United States of America,El Monte (CA)
United States of America,El Paso (TX)
United States of America,Elgin (IL)
United States of America,Elizabeth (NJ)
United States of America,Elk Grove (CA)
United States of America,Erie (PA)
United States of America,Escondido (CA)
United States of America,Eugene (OR)
United States of America,Evansville (IN)
United States of America,Everett (WA)
United States of America,Fairfield (CA)
United States of America,Fargo (ND)
United States of America,Fayetteville (NC)
United States of America,Flint (MI)
United States of America,Fontana (CA)
United States of America,Fort Collins (CO)
United States of America,Fort Lauderdale (FL)
United States of America,Fort Wayne (IN)
United States of America,Fort Worth (TX)
United States of America,Fremont (CA)
United States of America,Fresno (CA)
United States of America,Frisco (TX)
United States of America,Fullerton (CA)
United States of America,Gainesville (FL)
United States of America,Garden Grove (CA)
United States of America,Garland (TX)
United States of America,Gilbert (AZ)
United States of America,Glendale (AZ)
United States of America,Glendale (CA)
United States of America,Grand Prairie (TX)
United States of America,Grand Rapids (MI)
United States of America,Green Bay (WI)
United States of America,Greensboro (NC)
United States of America,Gresham (OR)
United States of America,Hampton (VA)
United States of America,Hartford (CT)
United States of America,Hayward (CA)
United States of America,Henderson (NV)
United States of America,Hialeah (FL)
United States of America,High Point City (NC)
United States of America,Hollywood (FL)
United States of America,Urban Honolulu (HI)
United States of America,Houston (TX)
United States of America,Huntington Beach (CA)
United States of America,Huntsville (AL)
United States of America,Independence (MO)
United States of America,Indianapolis (IN)
United States of America,Inglewood (CA)
United States of America,Irvine (CA)
United States of America,Irving (TX)
United States of America,Jackson (MS)
United States of America,Jacksonville (FL)
United States of America,Jersey City (NJ)
United States of America,Joliet (IL)
United States of America,Kansas City (KS)
United States of America,Kansas City (MO)
United States of America,Killeen (TX)
United States of America,Knoxville (TN)
United States of America,Lafayette (LA)
United States of America,Lakewood (CO)
United States of America,Lancaster (CA)
United States of America,Lansing (MI)
United States of America,Laredo (TX)
United States of America,Las Vegas (NV)
United States of America,Lexington-Fayette (KY)
United States of America,Lincoln (NE)
United States of America,Little Rock (AR)
United States of America,Long Beach (CA)
United States of America,Los Angeles (CA)
United States of America,Louisville (KY)
United States of America,Lowell (MA)
United States of America,Lubbock (TX)
United States of America,Madison (WI)
United States of America,Manchester (NH)
United States of America,McAllen (TX)
United States of America,McKinney City (TX)
United States of America,Memphis (TN)
United States of America,Mesa (AZ)
United States of America,Mesquite (TX)
United States of America,Miami (FL)
United States of America,Miami Gardens (FL)
United States of America,Midland City (TX)
United States of America,Milwaukee (WI)
United States of America,Minneapolis (MN)
United States of America,Miramar (FL)
United States of America,Mobile (AL)
United States of America,Modesto (CA)
United States of America,Montgomery (AL)
United States of America,Moreno Valley (CA)
United States of America,Murrieta (CA)
United States of America,Murfreesboro (TN)
United States of America,Naperville (IL)
United States of America,Nashville-Davidson (TN)
United States of America,New Haven (CT)
